symbol,timestamp,open,high,low,close,volume
MSFT,2025-09-02T08:00:00Z,503.55,506.8,503.55,505.0,3174
MSFT,2025-09-02T08:01:00Z,505.0,505.3,504.44,504.8,1621
MSFT,2025-09-02T08:02:00Z,504.78,505.02,504.5,504.79,319
MSFT,2025-09-02T08:03:00Z,504.75,505.51,504.75,505.5,354
MSFT,2025-09-02T08:04:00Z,505.31,505.56,504.92,505.0,871
MSFT,2025-09-02T08:05:00Z,505.06,505.16,504.73,504.91,633
MSFT,2025-09-02T08:06:00Z,504.79,505.0,504.76,504.89,552
MSFT,2025-09-02T08:07:00Z,504.79,504.79,504.2,504.63,1623
MSFT,2025-09-02T08:08:00Z,504.62,504.68,504.0,504.3,3588
MSFT,2025-09-02T08:09:00Z,504.12,504.59,504.12,504.24,126
MSFT,2025-09-02T08:10:00Z,504.61,504.72,504.25,504.34,518
MSFT,2025-09-02T08:11:00Z,504.33,504.94,504.29,504.75,247
MSFT,2025-09-02T08:12:00Z,504.62,504.73,504.46,504.46,63
MSFT,2025-09-02T08:13:00Z,504.63,504.7,504.43,504.5,366
MSFT,2025-09-02T08:14:00Z,504.52,504.52,504.5,504.52,16
MSFT,2025-09-02T08:15:00Z,504.69,504.88,504.51,504.69,525
MSFT,2025-09-02T08:16:00Z,504.71,504.85,504.49,504.85,270
MSFT,2025-09-02T08:17:00Z,504.8,504.8,504.58,504.58,8
MSFT,2025-09-02T08:18:00Z,504.56,504.72,504.56,504.64,149
MSFT,2025-09-02T08:19:00Z,504.63,504.72,504.63,504.67,29
MSFT,2025-09-02T08:20:00Z,504.75,504.85,504.75,504.85,218
MSFT,2025-09-02T08:21:00Z,504.84,504.86,504.79,504.82,83
MSFT,2025-09-02T08:22:00Z,504.9,505.0,504.9,504.9,27
MSFT,2025-09-02T08:23:00Z,504.99,504.99,504.92,504.92,6
MSFT,2025-09-02T08:24:00Z,504.87,504.92,504.74,504.74,540
MSFT,2025-09-02T08:25:00Z,504.72,504.75,504.72,504.75,121
MSFT,2025-09-02T08:26:00Z,504.72,504.84,504.59,504.8,456
MSFT,2025-09-02T08:27:00Z,504.75,504.75,504.63,504.75,33
MSFT,2025-09-02T08:28:00Z,504.75,504.75,504.63,504.69,5
MSFT,2025-09-02T08:29:00Z,504.62,504.62,504.62,504.62,44
MSFT,2025-09-02T08:30:00Z,504.63,504.63,504.57,504.57,103
MSFT,2025-09-02T08:31:00Z,504.7,504.7,504.4,504.4,1432
MSFT,2025-09-02T08:32:00Z,504.33,504.46,504.33,504.46,3
MSFT,2025-09-02T08:33:00Z,504.4,504.4,504.29,504.3,7
MSFT,2025-09-02T08:34:00Z,504.38,504.39,504.29,504.29,8
MSFT,2025-09-02T08:35:00Z,504.38,504.46,504.37,504.46,50
MSFT,2025-09-02T08:36:00Z,504.42,504.54,504.26,504.26,60
MSFT,2025-09-02T08:37:00Z,504.28,504.28,504.28,504.28,1
MSFT,2025-09-02T08:38:00Z,504.29,504.36,504.24,504.36,112
MSFT,2025-09-02T08:39:00Z,504.44,504.49,504.36,504.49,206
MSFT,2025-09-02T08:40:00Z,504.36,504.65,504.36,504.65,174
MSFT,2025-09-02T08:41:00Z,504.75,504.88,504.69,504.88,92
MSFT,2025-09-02T08:42:00Z,504.91,504.94,504.8,504.8,109
MSFT,2025-09-02T08:43:00Z,504.77,504.94,504.75,504.94,86
MSFT,2025-09-02T08:44:00Z,504.79,504.9,504.79,504.9,5
MSFT,2025-09-02T08:45:00Z,504.77,504.77,504.77,504.77,16
MSFT,2025-09-02T08:46:00Z,504.77,504.77,504.77,504.77,10
MSFT,2025-09-02T08:47:00Z,504.76,504.76,504.76,504.76,60
MSFT,2025-09-02T08:48:00Z,504.77,504.78,504.75,504.77,160
MSFT,2025-09-02T08:49:00Z,504.82,504.85,504.78,504.78,20
MSFT,2025-09-02T08:50:00Z,504.78,504.87,504.78,504.84,32
MSFT,2025-09-02T08:51:00Z,504.84,504.84,504.68,504.68,120
MSFT,2025-09-02T08:52:00Z,504.61,504.61,504.41,504.47,484
MSFT,2025-09-02T08:53:00Z,504.46,504.49,504.38,504.38,36
MSFT,2025-09-02T08:54:00Z,504.49,504.55,504.49,504.55,14
MSFT,2025-09-02T08:55:00Z,504.42,504.42,504.42,504.42,1
MSFT,2025-09-02T08:56:00Z,504.52,504.52,504.4,504.43,99
MSFT,2025-09-02T08:57:00Z,504.46,504.58,504.44,504.51,165
MSFT,2025-09-02T08:58:00Z,504.5,504.5,504.42,504.42,36
MSFT,2025-09-02T08:59:00Z,504.46,504.46,504.46,504.46,5
MSFT,2025-09-02T09:00:00Z,504.49,504.49,504.49,504.49,5
MSFT,2025-09-02T09:01:00Z,504.53,504.53,504.46,504.46,5
MSFT,2025-09-02T09:02:00Z,504.46,504.69,504.46,504.69,111
MSFT,2025-09-02T09:03:00Z,504.56,504.72,504.56,504.7,22
MSFT,2025-09-02T09:04:00Z,504.7,504.87,504.7,504.87,196
MSFT,2025-09-02T09:05:00Z,504.87,504.87,504.87,504.87,2
MSFT,2025-09-02T09:06:00Z,504.73,504.83,504.73,504.74,39
MSFT,2025-09-02T09:07:00Z,504.87,504.9,504.64,504.8,212
MSFT,2025-09-02T09:08:00Z,504.66,504.66,504.62,504.62,36
MSFT,2025-09-02T09:09:00Z,504.74,504.79,504.43,504.43,906
MSFT,2025-09-02T09:10:00Z,504.54,504.56,504.43,504.48,125
MSFT,2025-09-02T09:11:00Z,504.48,504.51,504.41,504.41,52
MSFT,2025-09-02T09:12:00Z,504.5,504.54,504.5,504.5,40
MSFT,2025-09-02T09:13:00Z,504.51,504.6,504.51,504.6,84
MSFT,2025-09-02T09:14:00Z,504.62,504.76,504.6,504.6,28
MSFT,2025-09-02T09:15:00Z,504.75,504.76,504.75,504.76,3
MSFT,2025-09-02T09:16:00Z,504.75,504.75,504.75,504.75,1
MSFT,2025-09-02T09:17:00Z,504.76,504.8,504.66,504.66,50
MSFT,2025-09-02T09:18:00Z,504.67,504.78,504.67,504.78,27
MSFT,2025-09-02T09:19:00Z,504.78,504.8,504.75,504.75,40
MSFT,2025-09-02T09:20:00Z,504.77,504.9,504.71,504.9,226
MSFT,2025-09-02T09:21:00Z,504.9,504.9,504.85,504.85,2
MSFT,2025-09-02T09:22:00Z,504.75,504.75,504.69,504.7,56
MSFT,2025-09-02T09:23:00Z,504.77,504.78,504.62,504.62,139
MSFT,2025-09-02T09:24:00Z,504.6,504.6,504.6,504.6,2
MSFT,2025-09-02T09:26:00Z,504.74,504.74,504.73,504.73,12
MSFT,2025-09-02T09:27:00Z,504.7,504.7,504.56,504.6,310
MSFT,2025-09-02T09:28:00Z,504.58,504.69,504.58,504.58,86
MSFT,2025-09-02T09:29:00Z,504.75,504.75,504.64,504.65,60
MSFT,2025-09-02T09:30:00Z,504.75,504.86,504.65,504.65,27
MSFT,2025-09-02T09:31:00Z,504.77,504.87,504.77,504.87,5
MSFT,2025-09-02T09:33:00Z,504.63,504.65,504.57,504.57,52
MSFT,2025-09-02T09:34:00Z,504.59,504.91,504.59,504.91,388
MSFT,2025-09-02T09:35:00Z,504.78,504.92,504.78,504.92,392
MSFT,2025-09-02T09:36:00Z,504.91,504.91,504.88,504.88,3
MSFT,2025-09-02T09:37:00Z,504.77,504.77,504.76,504.77,23
MSFT,2025-09-02T09:38:00Z,504.91,504.92,504.74,504.74,50
MSFT,2025-09-02T09:39:00Z,504.77,504.77,504.68,504.72,44
MSFT,2025-09-02T09:40:00Z,504.74,504.74,504.65,504.65,3
MSFT,2025-09-02T09:41:00Z,504.69,504.69,504.62,504.62,41
MSFT,2025-09-02T09:42:00Z,504.62,504.67,504.6,504.6,37
MSFT,2025-09-02T09:43:00Z,504.61,504.67,504.61,504.67,54
MSFT,2025-09-02T09:44:00Z,504.6,504.61,504.6,504.61,19
MSFT,2025-09-02T09:45:00Z,504.62,504.62,504.56,504.56,25
MSFT,2025-09-02T09:46:00Z,504.56,504.56,504.43,504.43,21
MSFT,2025-09-02T09:47:00Z,504.45,504.45,504.35,504.35,41
MSFT,2025-09-02T09:48:00Z,504.32,504.35,504.32,504.32,22
MSFT,2025-09-02T09:49:00Z,504.35,504.35,504.32,504.32,8
MSFT,2025-09-02T09:50:00Z,504.32,504.32,504.32,504.32,4
MSFT,2025-09-02T09:51:00Z,504.32,504.45,504.24,504.26,380
MSFT,2025-09-02T09:52:00Z,504.32,504.44,504.32,504.35,26
MSFT,2025-09-02T09:53:00Z,504.25,504.51,504.25,504.35,135
MSFT,2025-09-02T09:54:00Z,504.33,504.33,504.33,504.33,3
MSFT,2025-09-02T09:55:00Z,504.3,504.52,504.3,504.52,4
MSFT,2025-09-02T09:56:00Z,504.57,504.57,504.36,504.36,62
MSFT,2025-09-02T09:57:00Z,504.35,504.35,504.25,504.25,4
MSFT,2025-09-02T09:58:00Z,504.32,504.35,504.27,504.27,176
MSFT,2025-09-02T09:59:00Z,504.26,504.27,504.2,504.22,135
MSFT,2025-09-02T10:00:00Z,504.33,504.35,504.24,504.29,550
MSFT,2025-09-02T10:01:00Z,504.27,504.34,504.27,504.34,9
MSFT,2025-09-02T10:02:00Z,504.39,504.39,504.34,504.35,74
MSFT,2025-09-02T10:03:00Z,504.34,504.34,504.34,504.34,1
MSFT,2025-09-02T10:05:00Z,504.34,504.34,504.34,504.34,51
MSFT,2025-09-02T10:06:00Z,504.4,504.4,504.39,504.39,2
MSFT,2025-09-02T10:07:00Z,504.4,504.4,504.4,504.4,1
MSFT,2025-09-02T10:08:00Z,504.5,504.55,504.46,504.46,30
MSFT,2025-09-02T10:09:00Z,504.46,504.5,504.46,504.5,43
MSFT,2025-09-02T10:10:00Z,504.49,504.49,504.49,504.49,6
MSFT,2025-09-02T10:11:00Z,504.5,504.59,504.5,504.59,48
MSFT,2025-09-02T10:12:00Z,504.59,504.59,504.59,504.59,10
MSFT,2025-09-02T10:13:00Z,504.52,504.52,504.36,504.36,176
