symbol,timestamp,open,high,low,close,volume
MSFT,2025-12-02T05:00:00Z,486.715,493.4999,486.32,490.0,19562722
MSFT,2025-12-01T05:00:00Z,488.435,489.8599,484.6475,486.74,23963993
MSFT,2025-11-28T05:00:00Z,487.595,492.63,486.65,492.01,14386730
MSFT,2025-11-26T05:00:00Z,486.31,488.31,481.2,485.5,25709079
MSFT,2025-11-25T05:00:00Z,474.07,479.15,464.89,476.99,28019793
MSFT,2025-11-24T05:00:00Z,475.0,476.9,468.02,474.0,34421046
MSFT,2025-11-21T05:00:00Z,478.5,478.92,468.27,472.12,31769248
MSFT,2025-11-20T05:00:00Z,492.71,493.57,475.5,478.43,26802542
MSFT,2025-11-19T05:00:00Z,490.1,495.1872,482.83,487.12,23245314
MSFT,2025-11-18T05:00:00Z,495.365,502.98,486.78,493.79,33815114
MSFT,2025-11-17T05:00:00Z,508.45,512.12,504.91,507.49,19092752
MSFT,2025-11-14T05:00:00Z,498.23,511.6,497.44,510.18,28505746
MSFT,2025-11-13T05:00:00Z,510.31,513.5,501.29,503.29,25273114
MSFT,2025-11-12T05:00:00Z,509.355,511.67,499.1201,511.14,26574851
MSFT,2025-11-11T05:00:00Z,504.8,509.6,502.3488,508.68,17980020
MSFT,2025-11-10T05:00:00Z,500.035,506.85,498.8,506.0,26101480
MSFT,2025-11-07T05:00:00Z,496.945,499.377,493.25,496.82,24019764
MSFT,2025-11-06T05:00:00Z,505.66,505.7,495.81,497.1,27406496
MSFT,2025-11-05T05:00:00Z,513.3,514.83,506.575,507.16,22883851
MSFT,2025-11-04T05:00:00Z,511.76,515.55,507.84,514.33,20958663
MSFT,2025-11-03T05:00:00Z,519.805,524.96,514.59,517.03,22374742
MSFT,2025-10-31T04:00:00Z,528.875,529.32,515.1,517.81,34006424
MSFT,2025-10-30T04:00:00Z,530.48,534.97,522.12,525.76,41023088
MSFT,2025-10-29T04:00:00Z,544.94,546.27,536.7287,541.55,36023004
MSFT,2025-10-28T04:00:00Z,550.0,553.72,540.77,542.07,29986683
MSFT,2025-10-27T04:00:00Z,531.78,534.58,529.01,531.52,18734716
MSFT,2025-10-24T04:00:00Z,522.79,525.345,520.71,523.61,15532360
MSFT,2025-10-23T04:00:00Z,522.46,523.95,518.61,520.56,14023532
MSFT,2025-10-22T04:00:00Z,521.15,525.23,517.71,520.54,18962694
MSFT,2025-10-21T04:00:00Z,517.5,518.69,513.04,517.66,15586204
MSFT,2025-10-20T04:00:00Z,514.61,518.7,513.43,516.79,14665620
MSFT,2025-10-17T04:00:00Z,509.04,515.48,507.31,513.58,19867765
MSFT,2025-10-16T04:00:00Z,512.58,516.85,508.13,511.61,15559565
MSFT,2025-10-15T04:00:00Z,514.955,517.19,510.0,513.43,14694654
MSFT,2025-10-14T04:00:00Z,510.225,515.282,506.0,513.57,14684300
MSFT,2025-10-13T04:00:00Z,516.41,516.41,511.68,514.05,14284238
MSFT,2025-10-10T04:00:00Z,519.64,523.58,509.63,510.96,24133840
MSFT,2025-10-09T04:00:00Z,522.335,524.325,517.4,522.4,18343602
MSFT,2025-10-08T04:00:00Z,523.28,526.95,523.09,524.85,13363447
MSFT,2025-10-07T04:00:00Z,528.285,529.8,521.44,523.98,14615208
MSFT,2025-10-06T04:00:00Z,518.61,531.03,518.2,528.57,21388581
MSFT,2025-10-03T04:00:00Z,517.1,520.49,515.0,517.35,15112321
MSFT,2025-10-02T04:00:00Z,517.64,521.6,510.6791,515.74,21222886
MSFT,2025-10-01T04:00:00Z,514.8,520.505,511.69,519.71,22632336
MSFT,2025-09-30T04:00:00Z,513.24,518.16,509.66,517.95,19728229
MSFT,2025-09-29T04:00:00Z,511.5,516.845,508.88,514.6,17617775
MSFT,2025-09-26T04:00:00Z,510.06,513.94,506.62,511.46,16213129
MSFT,2025-09-25T04:00:00Z,508.3,510.01,505.04,507.03,15786468
MSFT,2025-09-24T04:00:00Z,510.38,512.48,506.92,510.15,13533711
MSFT,2025-09-23T04:00:00Z,513.8,514.5899,507.31,509.23,19799580
MSFT,2025-09-22T04:00:00Z,515.59,517.74,512.545,514.45,20009314
MSFT,2025-09-19T04:00:00Z,510.56,519.3,510.31,517.93,52474093
MSFT,2025-09-18T04:00:00Z,511.49,513.07,507.66,508.45,18913696
MSFT,2025-09-17T04:00:00Z,510.62,511.29,505.93,510.02,15816585
MSFT,2025-09-16T04:00:00Z,516.88,517.23,508.6,509.04,19711922
